PaCMAP2,PaCMAP1
1.6368129,8.178465
-2.487949,-12.203905
10.3799515,-18.755644
4.9527197,11.888621
-4.4393396,3.2975667
-5.212923,9.147998
5.1699786,2.5913918
-3.1765618,12.024062
-2.0717568,-7.1177235
0.88230556,6.6771326
5.5069723,4.531422
0.18631686,15.684775
3.1258929,-17.829563
1.024502,2.4973693
-4.3045516,5.9415092
0.64092296,17.193558
-5.0879345,-0.7204709
2.0466187,4.105852
4.2856517,16.861227
10.253413,-21.937836
-3.5206625,11.291742
6.932897,15.363203
1.7225416,5.4277925
5.0854163,7.471705
-4.570264,4.401997
-2.846995,-0.8523093
3.4314308,17.999426
-2.5547621,7.522367
0.21221362,1.3190067
-3.2276018,-16.244701
-8.238906,-11.071461
8.088972,-22.869133
-6.1608963,-0.24425651
4.6965175,15.076037
-4.7829514,-1.0282446
0.21074076,-1.7849483
-3.6389744,7.501841
-6.5113554,-9.706804
9.167692,-20.002056
-2.4162476,-7.888324
5.4065924,2.2947764
-3.938374,-16.67879
4.30887,2.464994
2.0369565,8.191247
5.2406135,10.281408
4.9524016,5.1387134
-4.5032144,-1.2780699
-2.08848,16.755657
-3.6653416,11.882739
-0.07178372,9.002297
1.4448042,5.396772
6.64367,15.840304
0.7445031,11.859068
4.433478,15.679404
4.686438,12.138694
2.8822026,-18.864084
3.9750414,7.1227946
-5.7669435,0.37863272
4.434175,4.8729987
-3.7760203,-19.702429
-2.2298064,17.26045
-7.6651206,-11.343336
-1.4567413,14.10766
0.6624392,9.594522
8.179003,-18.737343
-4.574226,-11.030413
1.6680727,19.070827
-7.6319866,-10.36369
7.366477,6.7388487
-4.1574655,-15.160971
3.4734704,-23.134907
-5.171438,-5.502747
5.6944885,10.10573
1.3383185,-22.380003
-4.32667,-2.389487
-4.4127927,-13.668207
-1.2639061,6.188944
6.8160906,12.485873
-1.6094192,-9.033445
5.0416927,5.1962314
5.07227,7.70663
0.7979249,3.8119779
-2.887506,-19.296696
-0.08480692,-2.644321
4.943366,14.272617
-0.1452756,-10.519062
6.020698,9.106957
3.633831,17.152569
-0.53975254,-8.701829
-5.30145,-15.480738
-6.901628,-4.12892
-1.7195803,-15.182584
-7.3304253,-12.730437
3.9636338,8.87636
-3.4818308,-17.091211
-1.4640454,-8.794601
-2.2828467,-11.906064
-1.4439514,-22.08886
10.258699,-21.945307
-2.6608381,5.6370096
0.9955524,12.649738
0.52809715,9.236991
1.1359552,-22.201748
-1.0972856,-14.652729
-1.6534786,0.036185365
4.248117,16.575294
1.8654326,18.728962
5.5199113,4.749894
-2.3022835,18.998043
-6.1770616,-7.288875
-0.1796187,4.7426395
-1.2136898,9.38012
-5.204271,-13.7725935
-4.319837,6.3971543
-5.9515305,-0.8673485
6.9957557,12.922439
5.104924,0.4411743
-0.8162758,-21.568121
4.376757,3.5092385
4.9220133,10.456673
0.45757124,-9.060233
-2.8197372,0.9224006
-5.648711,4.381122
-2.7346108,3.5720394
7.343578,17.54927
-3.562226,-17.366104
0.9009656,1.4278651
-2.48096,-13.536439
1.3801931,5.0594473
-5.2968936,6.8823695
-1.9205983,-13.533739
0.24633738,14.196245
6.6010666,-17.29525
1.0444798,-8.247214
3.4190168,-0.71883225
-2.1072838,-0.19119345
-4.290136,-4.745649
-4.69178,5.451479
-6.067049,-15.760319
-4.63651,1.8883957
-3.9369247,-12.046693
-3.457023,-1.2082723
-4.609909,-9.699794
10.382509,-18.71218
8.180812,-21.648726
-0.53148234,-21.51818
4.8718324,9.219384
-0.38651583,-18.84502
0.8148567,-3.5224912
3.3021536,14.736392
-2.363552,-3.0679195
7.1858063,6.2268844
-0.90987706,15.105212999999999
-0.47549984,-18.227299
3.0608513,-2.5317798
1.1476812,7.132354
-2.1254487,-16.591503
-0.05571173,13.969206
6.8026633,12.691522
-2.1476822,14.186562
-1.8650954,-17.276966
-4.557478,-16.444107
-3.1232257,-18.85423
-1.9968307,-21.708012
-2.0468805,3.6572104
5.2124887,-18.281101
1.8652524,10.281352
-5.7808414,-5.2273273
-3.430172,-0.08459591
-3.4256349,-13.947828
7.1816597,13.533186
3.6391664,0.7969017
-5.926218,9.332521
-6.3602576,5.7922072
-7.563526,-7.115439
-0.71634877,-6.132857
-6.865626,-14.472246
-3.7529,5.345119
-1.0085925,3.2053905
-1.3503362,0.2674751
-5.560092,10.983077
-5.8107977,9.894174
-2.9445534,2.6146615
-1.0750997,16.934034
