TriMAP2,TriMAP1
19.3505,-24.035631
-45.05475,-28.559406
-41.517693,-26.21344
-14.382219,17.40169
-21.594873,0.9382368
19.137115,16.27737
35.546207,-10.533007
29.990181,-9.290118
-2.1416576,25.838524
-18.12153,25.644333
-2.3809412,23.390924
20.470295,20.419292
13.51101,1.4434085
29.012789,10.0776005
13.453103,-14.569878
-3.530275,9.741546
44.454056,-11.764622
25.036943,-7.987813
-10.912248,-9.814878
-2.2063732,23.909431
16.9506,-21.551529
18.274271,10.179482
-45.818333,-28.96641
-19.203028,-7.9553714
-1.8819379,33.8393
-18.156742,26.041996
30.378168,9.752066
-2.3312705,24.962418
-2.6225145,17.483324
-35.547123,-20.851254
36.210114,-10.658696
13.535802,1.7704352
-20.697468,32.827045
-41.334312,-26.098299
11.846915,-6.2555194
-14.00559,16.488825
12.159545,11.517648
-21.909191,-9.875705
29.066992,-33.745537
11.302167,-5.334467
-11.102027,-21.100315
-10.873497,11.495732
-10.506652,-18.522797
29.710781,10.06217
-12.218076,-25.676058
35.289825,-37.781807
-48.725857,12.708073
-2.2938762,24.906013
-14.587101,18.02159
-1.8388457,29.824455
20.067867,-25.200054
16.550104,-21.243498
-28.684975,-14.367676
29.530655,37.170353
-45.15663,-28.629988
-15.302036,-4.1061287
4.8829365,0.17712826
-10.445275,-12.741116
31.414326,9.45323
-10.416496,-13.402874
-42.281063,-26.786226
7.7989,-1.5638838
-11.966367,-24.538935
-18.53074,26.763367
46.41522,-12.414098
-2.9534698,14.651895
34.18679,-36.89915
16.040987,-5.06909
19.182718,-5.9720783
-42.827347,9.46737
-34.16164,-19.265057
-16.9808,22.990957
18.461395,-5.8058796
-2.4537761,19.239885
11.80254,-8.546971
-11.352957,-6.88175
24.521791,28.564308
-36.453285,6.1342244
-7.7595906,1.036894
-18.786318,-9.508664
27.96933,10.228236
3.804091,6.6287503
-49.08614,13.332136
35.62035,-37.61482
44.128044,-11.783594
-10.349127,-13.4609
-32.764378,4.7087097
35.440163,-37.51278
-19.194792,27.341364
26.291958,31.387346
32.85862,-35.94512
4.709753,-0.11054956
-20.68904,-9.027734
29.76076,-33.475784
-26.36873,-12.645389
24.542496,-7.7040505
-16.419136,-1.9290409
-21.94542,39.449577
26.85272,-8.486997
18.040636,-23.602806
16.787273,7.957087
32.128094,-35.2927
35.74552,-10.648724
27.868261,-32.32672
-14.2056055,-3.3087068
-2.442187,21.891151
-42.99669,-27.284681
-8.719773,9.20582
-8.336136,8.646564
21.958199,23.949245
10.456585,-2.6996934
-34.243477,-19.337223
-42.460136,-26.896393
34.7654,-10.44822
-2.177213,21.498693
-49.2499,13.136475
-1.8881574,29.044552
29.947237,38.392616
-33.08343,-18.223858
13.393727,1.3948996
-34.542614,-19.755808
-3.1184244,13.69622
-3.9369254,2.881178
-19.575926,29.683495
40.40636,-39.366463
-7.5346584,1.3252673
-2.319367,20.555563
-36.14484,6.0194
45.211308,-12.101008
37.8069,-11.135276
21.542923,-26.737686
-18.486536,-6.861824
22.817905,25.786627
27.094582,-31.825369
31.19694,-34.924152
6.7500377,8.317941
19.961538,18.800528
-0.6809626,4.2781405
30.349436,9.979138
28.774412,-32.19012
-13.337177,-29.794735
33.03877,-10.065543
-32.737637,-17.903805
-22.306988,1.1104134
3.361572,6.517597
-9.899465,-0.6777728
11.826338,-7.3903604
18.190746,-5.7876062
-36.07287,-21.356277
40.379562,-39.32911
-40.108532,7.7701306
