PaCMAP2,PaCMAP1
5.220377,5.8000374
-12.036667,-6.0654893
7.920514,0.3664822
9.73764,3.4533474
4.690174,-0.73096484
-0.28618488,-0.2969861
-8.898755,-4.4066195
7.9927197,3.8096633
-9.481667,-6.288821
-5.4554515,-3.4527025
-13.0599985,-6.108788
7.7287927,0.7662414
3.536075,-1.6218859
-8.780304,-5.9164567
6.9385176,0.9733083
-9.963309,-6.685438
-13.912182,-6.6655045
0.30561706,3.6563609
-8.415625,-4.923818
4.366732,-1.4377669
-3.2706718,-2.9525156
-0.4295009,-0.23037559
7.3858967,5.463741
4.491386,3.7881298
8.048895,2.4206283
2.9747715,0.9885189
-2.1103413,-3.0598366
-11.27821,-6.7239347
-0.12493964,4.1492357
4.479551,5.2615967
0.36049935,-0.3709449
2.6479619,-1.8196044
0.24723229,-0.30102116
-9.848053,-6.7815657
-13.580419,-6.397407
2.4067624,-1.324742
6.927243,-0.4057051
-9.514773,-6.443954
-13.404435,-7.1243315
5.7954717,6.0631547
-9.799813,-5.440842
0.8608699,3.5814903
4.278802,-1.5776083
-0.16632755,4.1168327
3.2284794,1.5903859
7.3354177,2.6738935
-1.1231426,3.225046
-9.902139,-6.629876
4.599777,3.8750777
1.1175784,2.025048
-2.972891,-2.4911733
0.63250303,2.8698936
-7.4380417,-3.8478966
0.9822914,-0.39053714
-13.590166,-6.6946726
7.7184916,5.536757
8.663761,4.9123616
7.0323844,0.94305015
-3.4475663,-0.056679703
1.069498,2.214116
-9.66947,-6.6729565
5.0509543,5.5224376
5.330591,-0.41873276
4.2443995,6.106954
-1.7317017,-2.9992206
1.8090684,2.5844903
-1.4268637,3.121269
-0.23452783,0.9172279
-9.713918,-6.525188
-4.6414223,-2.0086935
6.8702307,2.1892414
2.721725,3.908059
9.326345,2.1367009
-1.0709348,1.6819227
3.5379908,-1.1308014
-0.9174287,3.9484997
5.5471816,4.7932673
-6.870346,-4.2441764
0.996782,3.2251477
4.1565523,5.8945384
6.9274135,1.7141118
-9.562124,-6.7472343
-2.2155554,1.5961268
1.9789935,3.2579725
4.71177,3.9450233
-6.0942287,-3.5572424
2.8649468,5.108702
-1.2961223,3.3095114
-10.342295,-4.9559474
5.7932396,6.2235823
-6.5904803,-2.4971254
2.5303419,2.5450907
2.3007433,0.07198861
8.083535,4.7257166
